"filename", "language", "TypeScript JSX", "PostCSS", "TypeScript", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\[...catchAll]\page.tsx", "TypeScript JSX", -4, 0, 0, 0, -2, -6
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\accept-invite\page.tsx", "TypeScript JSX", -157, 0, 0, -16, -16, -189
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\AcademicPeriodManager.tsx", "TypeScript JSX", -189, 0, 0, -1, -14, -204
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\academic-periods\page.tsx", "TypeScript JSX", -33, 0, 0, -1, -7, -41
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\CourseManager.tsx", "TypeScript JSX", -228, 0, 0, -3, -16, -247
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\courses\page.tsx", "TypeScript JSX", -34, 0, 0, -3, -8, -45
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\dashboard\page.tsx", "TypeScript JSX", -67, 0, 0, -2, -11, -80
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\DepartmentManager.tsx", "TypeScript JSX", -217, 0, 0, -3, -15, -235
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\departments\page.tsx", "TypeScript JSX", -28, 0, 0, -2, -7, -37
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\ExamManager.tsx", "TypeScript JSX", -231, 0, 0, -1, -13, -245
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\exams\page.tsx", "TypeScript JSX", -48, 0, 0, 0, -7, -55
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\FacultyManager.tsx", "TypeScript JSX", -375, 0, 0, -3, -22, -400
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\faculty\page.tsx", "TypeScript JSX", -29, 0, 0, -2, -7, -38
"c:\Users\mohit\Desktop\I\unicore_g\app\[tenant]\admin\layout.tsx", "TypeScript JSX", -68, 0, 0, -5, -10, -83
